"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
6.171599080E-1	1.666716576E1	-2.844084740E1	5.450690842E1	6.369991586E1
6.257450810E-1	1.183222389E1	-2.851785278E1	4.672783279E1	5.600678358E1
6.343300830E-1	-6.306629777E-1	-3.041311264E1	3.251939774E1	4.452938788E1
6.429152110E-1	-1.485545921E1	-3.066930389E1	1.797567940E1	3.852811856E1
6.515002060E-1	-2.727273750E1	-2.708271790E1	1.029225922E1	3.978952650E1
6.600853620E-1	-3.674436188E1	-2.260897827E1	6.923142910E0	4.369489599E1
6.686704110E-1	-4.062546539E1	-1.963454247E1	3.877862930E0	4.528776344E1
6.772556400E-1	-3.946469879E1	-1.913092232E1	-1.882637978E0	4.389759635E1
6.858408080E-1	-3.534987640E1	-1.859760284E1	-5.858510971E0	4.037086504E1
6.944258080E-1	-3.225180817E1	-1.390319347E1	-6.534854889E0	3.572369308E1
7.030109370E-1	-3.118781471E1	-7.332351208E0	-4.894786835E0	3.240990742E1
7.115959370E-1	-3.028816223E1	-1.040608048E0	-4.778724194E0	3.068047981E1
7.201811110E-1	-2.717868996E1	2.955554008E0	-1.026140213E1	2.920124759E1
7.287661130E-1	-2.290042114E1	5.501490116E0	-1.766560364E1	2.944094485E1
7.373512470E-1	-2.029579926E1	7.595520020E0	-2.279998589E1	3.145553605E1
7.459362470E-1	-1.830805206E1	6.993512154E0	-2.520277023E1	3.192606474E1
7.545214520E-1	-1.857540894E1	5.080924034E0	-2.385540199E1	3.065847045E1
7.631066060E-1	-2.227986717E1	3.994616985E0	-1.716697311E1	2.840870310E1
7.716916110E-1	-2.656403732E1	8.376809955E-1	-1.217068195E1	2.923140926E1
7.802767670E-1	-3.022312164E1	-3.398078918E0	-9.311361313E0	3.180700350E1
7.888617550E-1	-3.284299088E1	-8.570207596E0	-8.433942795E0	3.497487525E1
7.974469090E-1	-3.507966232E1	-1.411410904E1	-7.542877197E0	3.855756449E1
8.060318970E-1	-3.684090042E1	-2.033946609E1	-7.322279930E0	4.271488743E1
8.146171250E-1	-3.926425934E1	-2.654628372E1	-7.514561176E0	4.798808050E1
8.232022930E-1	-4.245815659E1	-3.277930832E1	-6.406672955E0	5.402058471E1
8.317872930E-1	-4.561927414E1	-3.868512726E1	-3.645291090E0	5.992449742E1
8.403724710E-1	-4.771206665E1	-4.151556015E1	3.464030027E-1	6.324636775E1
8.489574590E-1	-4.908586502E1	-4.081029129E1	1.211568832E1	6.497454828E1
8.575426130E-1	-4.400039291E1	-4.187028503E1	2.847928238E1	6.708371539E1
8.661275940E-1	-3.166423607E1	-3.486739349E1	4.229949951E1	6.330566036E1
8.747128230E-1	-2.478243828E1	-2.368035126E1	5.275617218E1	6.291376627E1
8.832976990E-1	-1.494324398E1	-2.078574753E1	5.707379150E1	6.255210242E1
8.918828530E-1	-5.824525833E0	-2.209815598E1	5.760643768E1	6.197382723E1
9.004680920E-1	2.725378990E0	-2.679739571E1	5.210793304E1	5.865803264E1
9.090530920E-1	8.217089653E0	-3.412264252E1	3.825234985E1	5.191452171E1
9.176382110E-1	3.765553951E0	-3.501976395E1	2.807974052E1	4.504481204E1
9.262232130E-1	-6.826746941E0	-3.626116180E1	1.851293182E1	4.128201756E1
9.348083880E-1	-2.100429916E1	-3.431251526E1	1.065917587E1	4.161907396E1
9.433933130E-1	-3.538021088E1	-2.933415031E1	6.608284950E0	4.643189772E1
9.519785090E-1	-4.626971054E1	-2.663953972E1	4.236618042E0	5.355838051E1
9.605634340E-1	-5.215041733E1	-2.809735680E1	2.285212994E0	5.928195075E1
9.691486840E-1	-5.450210571E1	-2.927518082E1	4.710879922E-1	6.186871312E1
9.777338360E-1	-5.423833084E1	-2.863214111E1	-7.222790122E-1	6.133610457E1
9.863188020E-1	-5.262123871E1	-2.748516464E1	-2.582429886E0	5.942304252E1
9.949039560E-1	-5.016641998E1	-2.547864532E1	-6.008780956E0	5.658565640E1
1.003488954E0	-4.431444168E1	-2.288518906E1	-8.958404541E0	5.067301680E1
1.012074108E0	-3.662447739E1	-2.066854668E1	-1.120924854E1	4.352227497E1
1.020659331E0	-2.915477753E1	-1.986655426E1	-1.639947128E1	3.890531698E1
1.029244332E0	-2.154078293E1	-1.630838394E1	-2.408425713E1	3.619420060E1
1.037829223E0	-2.526070786E1	1.025077820E1	-7.757840157E0	2.834371004E1
1.046414453E0	-1.642505836E1	1.389535141E1	-1.474747276E1	2.608354435E1
1.054999648E0	-1.175288010E1	2.189719391E1	-3.364905167E1	4.183151885E1
1.063584573E0	-7.903454781E0	2.167417145E1	-3.752019119E1	4.404542034E1
1.072169737E0	-1.032338619E1	1.184768105E1	-3.782691193E1	4.096114152E1
1.080754737E0	-1.249821663E1	-7.531200051E-1	-3.588113785E1	3.800300859E1
1.089339932E0	-1.684716034E1	-8.630258560E0	-2.891472054E1	3.455964754E1
1.097925086E0	-2.154528809E1	-1.753849220E1	-2.388043785E1	3.663432079E1
1.106510043E0	-2.723460197E1	-2.492618370E1	-1.883050537E1	4.144425305E1
1.115095199E0	-3.309555817E1	-2.796444511E1	-1.393923569E1	4.551514531E1
1.123680226E0	-3.781795120E1	-2.681003189E1	-6.986563206E0	4.688056429E1
1.132265380E0	-4.147023010E1	-2.623085022E1	-2.165977955E0	4.911750145E1
1.140850382E0	-3.910551834E1	-2.660983276E1	1.876250029E0	4.733756520E1
1.149435535E0	-3.617227554E1	-2.816350746E1	-1.976526976E0	4.588598184E1
1.158020783E0	-4.171856689E1	-2.918690109E1	-5.731418133E0	5.123634621E1
1.166605783E0	-3.134124947E1	-2.665777588E1	9.212902069E0	4.216382925E1
1.175190937E0	-2.425437927E1	-1.885954094E1	1.597773266E1	3.463011896E1
1.183775937E0	-1.905690765E1	-6.812394142E0	1.949232292E1	2.809848921E1
1.192361097E0	-2.278299332E1	5.238574982E0	1.372109604E1	2.710675061E1
1.200946095E0	-3.319561005E1	5.652171135E0	2.958336639E1	4.482266315E1
1.209531267E0	-1.930426216E1	-6.764569879E-1	1.574977112E1	2.492323057E1
1.218116267E0	-5.116036892E0	-1.592248535E1	1.787466431E1	2.447862327E1
1.226701529E0	1.114035034E1	-2.654037857E1	3.475220871E1	4.512444028E1
1.235286683E0	7.758866787E0	-1.838217545E1	1.368493462E1	2.419466518E1
1.243871645E0	8.167532921E0	-1.662904358E1	1.163289642E1	2.187596772E1
1.252456803E0	6.289934158E0	-1.735257912E1	1.214223099E1	2.209319006E1
1.261041806E0	1.848541975E0	-1.764032936E1	7.046032906E0	1.908520126E1
1.269626983E0	-9.486719966E-1	-1.687269592E1	5.729529858E0	1.784419678E1
1.278212212E0	-3.576958895E0	-1.719770050E1	8.776910782E0	1.963643808E1
1.286797168E0	-7.204592228E0	-1.929003143E1	1.322279930E1	2.447149123E1
1.295382170E0	-1.046192169E1	-2.211733055E1	9.573733330E0	2.627326561E1
1.303967418E0	-1.298065567E1	-2.211566162E1	5.798414230E0	2.629109199E1
1.312552572E0	-1.490316486E1	-2.188409424E1	4.718192101E0	2.689385135E1
1.321137587E0	-1.672293472E1	-2.210572052E1	5.865952015E0	2.833246933E1
1.329722743E0	-1.854191208E1	-2.153764915E1	6.250006199E0	2.909871839E1
1.338307733E0	-2.047459984E1	-1.862098312E1	5.042923927E0	2.813150072E1
1.346892962E0	-1.148978424E1	-1.451867008E1	-5.703050137E0	1.937347939E1
1.355478107E0	-1.279728127E1	-1.056406784E1	-3.721597910E0	1.700647606E1
1.364063107E0	-1.236541080E1	-6.264426231E0	-1.418449211E1	1.983295835E1
1.372648245E0	-1.251275444E1	-8.418319821E-1	-2.166750908E1	2.503514838E1
1.381233245E0	-1.886896706E1	7.647767067E0	-2.029059982E1	2.874429857E1
1.389818385E0	-1.327985764E1	1.164467621E1	-2.046690559E1	2.703418812E1
1.398403387E0	-1.816813660E1	1.254476738E1	-7.064661980E0	2.318106609E1
1.406988521E0	-2.680782127E1	5.239960194E0	-4.311995029E0	2.765338615E1
1.415573750E0	-1.863365936E1	2.578928947E0	-3.582453537E1	4.046308775E1
1.424158750E0	-8.492067337E0	1.760028958E0	-3.200951385E1	3.316356264E1
1.432743904E0	-9.266198158E0	-2.380183935E0	-2.774633789E1	2.934939472E1
1.441328940E0	-1.011610794E1	-1.125155640E1	-2.398157310E1	2.835575797E1
