"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"	"Absolute (rad/s)"
1.360131370E-1	6.366249919E-2	4.124999978E-4	3.437499981E-3	6.375657115E-2
1.381605970E-1	5.266249925E-2	4.124999978E-4	2.199999988E-3	5.271004632E-2
1.403061220E-1	4.166249931E-2	4.124999978E-4	9.624999948E-4	4.167565730E-2
1.424537350E-1	3.079999983E-2	-8.249999955E-4	9.624999948E-4	3.082607696E-2
1.445992760E-1	2.213750035E-2	-2.062499989E-3	9.624999948E-4	2.225419587E-2
1.467467350E-1	8.799999952E-3	-8.249999955E-4	-2.749999985E-4	8.842864307E-3
1.488921990E-1	1.374999993E-3	4.124999978E-4	-2.749999985E-4	1.461645041E-3
1.510396400E-1	-1.086249948E-2	4.124999978E-4	-1.512499992E-3	1.097504931E-2
1.531851800E-1	-2.186249942E-2	2.749999985E-3	-1.512499992E-3	2.208662575E-2
1.553327930E-1	-3.038750030E-2	2.749999985E-3	-1.512499992E-3	3.054914615E-2
1.574783340E-1	-3.891250119E-2	3.987499978E-3	-2.749999985E-3	3.921282194E-2
1.596257930E-1	-4.867500067E-2	5.224999972E-3	-2.749999985E-3	4.903181431E-2
1.617712330E-1	-5.596249923E-2	7.699999958E-3	-1.512499992E-3	5.650999005E-2
1.639186920E-1	-6.338749826E-2	7.699999958E-3	-1.512499992E-3	6.387137537E-2
1.660642330E-1	-6.943749636E-2	6.462499965E-3	-1.512499992E-3	6.975397812E-2
1.682118460E-1	-7.548750192E-2	6.462499965E-3	-2.749999985E-3	7.581351695E-2
1.703573870E-1	-8.043749630E-2	6.462499965E-3	-3.849999979E-3	8.078847206E-2
1.725048120E-1	-8.291249722E-2	5.224999972E-3	-2.749999985E-3	8.312247181E-2
1.746502760E-1	-8.648750186E-2	2.749999985E-3	-3.849999979E-3	8.661681694E-2
1.767977350E-1	-8.896250278E-2	5.224999972E-3	-3.849999979E-3	8.919893511E-2
1.789432760E-1	-8.772499859E-2	3.987499978E-3	-3.849999979E-3	8.789993193E-2
1.810908890E-1	-8.772499859E-2	2.749999985E-3	-5.087499972E-3	8.791541693E-2
1.832364160E-1	-8.648750186E-2	5.224999972E-3	-5.087499972E-3	8.679441951E-2
1.853838750E-1	-8.415000141E-2	5.224999972E-3	-5.087499972E-3	8.446541314E-2
1.875293390E-1	-8.167500049E-2	5.224999972E-3	-3.849999979E-3	8.193246505E-2
1.896767980E-1	-7.919999957E-2	5.224999972E-3	-5.087499972E-3	7.953504393E-2
1.918223390E-1	-7.548750192E-2	3.987499978E-3	-3.849999979E-3	7.569072335E-2
1.939700390E-1	-6.819999963E-2	5.224999972E-3	-3.849999979E-3	6.850812415E-2
